Taxon;NOME COMUM
Tapirus terrestris;anta
Pteronura brasiliensis;ariranha 
Balaenoptera musculus;baleia-azul
Berardius arnuxii;baleia-bicuda-de-Arnoux
Mesoplodon densirostris;baleia-bicuda-de-Blainville
Ziphius cavirostris;baleia-bicuda-de-Cuvier
Mesoplodon europaeus;baleia-bicuda-de-Gervais
Mesoplodon grayi;baleia-bicuda-de-Gray
Mesoplodon hectori;baleia-bicuda-de-Hector
Mesoplodon layardii;baleia-bicuda-de-Layard
Mesoplodon mirus;baleia-bicuda-de-True
Hyperoodon planifrons;baleia-bicuda-do-sul
Balaenoptera edeni;baleia-de-Bryde
Balaenoptera omurai;baleia-de-Omura
Balaenoptera physalus;baleia-fin
Eubalaena australis;baleia-franca-austral
Megaptera novaeangliae;baleia-jubarte
Balaenoptera bonaerensis;baleia-minke-ant�rtica
Balaenoptera acutorostrata;baleia-minke-comum, baleia-minke-an�
Globicephala macrorhynchus;baleia-piloto-de-peitorais-curtas
Globicephala melas;baleia-piloto-de-peitorais-longas
Balaenoptera borealis;baleia-sei
Saguinus imperator;bigodeiro, macaco-bigodeiro, sauim-bigodeiro
Plecturocebus pallescens;boca-d'�gua
Sotalia guianensis;boto-cinza
Inia boliviensis;boto-da-Bol�via
Phocoena spinipinnis;boto-de-Burmeister
Phocoena dioptrica;boto-de-�culos
Inia araguaiaensis;boto-do-Araguaia
Inia geoffrensis;boto-vermelho, boto-do-Amazonas
Bubalus bubalis;B�falo-asi�tico
Alouatta caraya;bugio-preto 
Physeter macrocephalus;cachalote
Kogia sima;cachalote-an�o
Kogia breviceps;cachalote-pigmeu
Cerdocyon thous;cachorro-do-mato, graxaim, raposa 
Atelocynus microtis;cachorro-do-mato-de-orelha-curta
Speothos venaticus;cachorro-do-mato-vinagre, cachorro-vinagre
Cebus albifrons;caiarara 
Cebus kaapori;caiarara 
Cebus olivaceus;caiarara 
Cebus unicolor;caiarara 
Mus musculus;camundongo�
Conepatus semistriatus;cangamb�, jaritataca 
Hydrochoerus hydrochaeris;capivara 
Dicotyles tajacu;cateto
Monodelphis unistriata;catita 
Monodelphis kunsi;catita 
Monodelphis peruviana;catita 
Monodelphis ronaldi;catita 
Monodelphis saci;catita 
Cryptonanus unduaviensis;catita 
Thylamys macrurus;catita 
Thylamys karimii;catita 
Thylamys velutinus;catita 
Monodelphis arlindoi;catita, catita-de-cauda-curta
Monodelphis brevicaudata;catita, catita-de-cauda-curta
Monodelphis glirina;catita, catita-de-cauda-curta
Monodelphis touan;catita, catita-de-cauda-curta
Monodelphis vossi;catita, catita-de-cauda-curta
Monodelphis pinocchio;catita, catita-de-cauda-curta
Monodelphis emiliae;catita, catita-de-cauda-curta
Monodelphis domestica;catita, catita-de-cauda-curta, cu�ca-do-rabo-curto
Monodelphis iheringi;catita, catita-de-listras, guaiquica-listrada
Cryptonanus agricolai;catita, guaiquica
Cryptonanus chacoensis;catita, guaiquica
Cryptonanus guahybae;catita, guaiquica
Hyladelphys kalinowskii;catita, guaiquica
Monodelphis scalops;catita-de-listras, catita 
Monodelphis americana;catita-de-listras, catita, cu�ca-de tr�s-listras
Guerlinguetus aestuans;caxinguel�, serelepe, esquilo, quatipuru-pequeno
Guerlinguetus brasiliensis;caxinguel�, serelepe, esquilo, quatipuru-pequeno
Rusa timorensis;cervo-de-timor
Blastocerus dichotomus;cervo-do-pantanal 
Axis axis;chital�
Ateles marginatus;coat�-da-testa-branca 
Oryctolagus cuniculus;Coelho-europeu
Coendou speratus;cuandu-mirim 
Marmosa macrotarsus;cu�ca 
Marmosa tyleriana;cu�ca 
Marmosa waterhousei;cu�ca 
Marmosa constantiae;cu�ca 
Marmosa demerarae;cu�ca 
Marmosa phaea;cu�ca 
Marmosa rapposa;cu�ca 
Marmosa rutteri;cu�ca 
Gracilinanus peruanus;cu�ca 
Marmosops bishopi;cu�ca 
Marmosops marina;cu�ca 
Marmosops woodalli;cu�ca 
Glironia venusta;cu�ca 
Gracilinanus emiliae;cu�ca, catita, guaiquica
Gracilinanus agilis;cu�ca, catita, guaiquica, cuiquinha
